"prom_year","fti","num_combat","category"
1955,11,63,"High Threat / High Promotion"
1995,18,28,"High Threat / High Promotion"
2002,11,7,"High Threat / Moderate Promotion"
2003,13,0,"High Threat / Low Promotion"
2009,10,20,"High Threat / High Promotion"
2010,13,0,"High Threat / Low Promotion"
2011,10,3,"High Threat / Moderate Promotion"
2014,21,0,"High Threat / Low Promotion"
