"prom_year","dti","num_loyal","category"
1990,2125,33,"High Threat / Moderate Promotion"
1998,2812,5,"High Threat / Low Promotion"
2004,2500,8,"High Threat / Moderate Promotion"
2008,2500,17,"High Threat / Moderate Promotion"
2009,2125,16,"High Threat / Moderate Promotion"
2011,7188,0,"High Threat / Low Promotion"
2012,9812,22,"High Threat / Moderate Promotion"
2013,8938,6,"High Threat / Moderate Promotion"
2014,20938,9,"High Threat / Moderate Promotion"
